1.1 Which country are you from?,1.2 Please choose your gender,2. How old are you?,3. How long have you lived in your home country?(years),Age,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Religion (I. e critisize religion)],A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Religion (I. e critisize religion)],Calc,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Relationships between men and a women(I.e unmarried couple)],A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Relationships between men and a women(I.e unmarried couple)],Calc2,"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Food habits (I. e  eating cows, drinking alchohol and so on)]","A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Food habits (I. e  port meat or others, drinking alchohol and so on)]",Calc3,"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Physical contact with the opposide gender(I. e touching other gender,)]","A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Physical contact with the opposide gender(I. e touching other gender,  looking to women with uncovered head)]",Calc4,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid some kind of humour],A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Avoid some kind of humour],Calc5,"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid negative comments or criticisms about a person’s ability, appearance or attributes]","A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Avoid negative comments or criticisms about a person’s ability, appearance or attributes]",Calc6,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [embarrass a person in public],A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [embarrass a person in public],Calc7,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Not to ask too many personal questions ],A1. Indian culture - Can you estimate the importance of the taboos in the Indian culture ? Please rate the value of each row [Not to ask too many personal question],Calc8,"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you are angry, upset or annoyed (I. e turn your back to someone, grab your hair )]","A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you are angry, upset or annoyed (I. e turn your back to someone, grab your hair )]",Calc9,"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you thank people (I. e Hug a person with both hands,  hold the hand of someone with","A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you thank people (I. e Hug a person with both hands,  hold the hand of someone with",Calc10,"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you disagree with someone (I. e turn the thumb down, hold your fist in front of som","A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you disagree with someone (I. e turn the thumb down, hold your fist in front of som",Calc11,"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you agree with someone (I. e nod with your head, smile to someone )]","A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you agree with someone (I. e nod with your head, smile to someone )]",Calc12,"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing your surprise (I. e move your eyebrows upwards, open your mouth widely)]","A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing your surprise (I. e move your eyebrows upwards, open your mouth widely)]",Calc13,B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Express themselves with the head movement],A2. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Express themselves with the head movement],Calc14,"6. Please rate the fol2ing questions according to your opion  [Have you stayed for a long duration outside your home country (5= long, 1= short)]",6. Please rate the fol2ing questions according to your opion  [Do you see yourself working and communicating well in an international working environment? ],6. Please rate the fol2ing questions according to your opion  [Do you think it is important to learn the cultural background of co-workers to achieve better communication ],6. Please rate the fol2ing questions according to your opion  [Learning the intentions of a direct/indirect communication based on the culture background helps in an international team work],6. Please rate the fol2ing questions according to your opion  [Cultural background influence the teamwork],"6. Please rate the fol2ing questions according to your opion  [how do you think the communication in the Indian culture?(Direct = 5, Indirect= verly 2)]","6. Please rate the fol2ing questions according to your opion  [Do you that support the statement that cultural taboos/body lanugage lead to different message interpretation? (5= strongly, 1= not really) ]","6. Please rate the following questions according to your opion  [Do you think that the environment influences our behaviour in terms of body language/taboos(Work, university, leisure time) ]",7. How would you approach an international student with a language barrier?,Testing,"1. What are the cultural differences between your culture and the Indian culture? Please rate the value of each row (if you are Indian, What are the cultural differences between your culture and the one you were exposed to) [I was exposed to new taboos an","1. What are the cultural differences between your culture and the Indian culture? Please rate the value of each row (if you are Indian, What are the cultural differences between your culture and the one you were exposed to) [How useful was the questionare","1. What are the cultural differences between your culture and the Indian culture? Please rate the value of each row (if you are Indian, What are the cultural differences between your culture and the one you were exposed to) [The values of my culture are s",2. Does the exposure to new cultural body language and taboos help you change your attitude towards the people from the culture you examined? Please rate the value of each row [The knowledge I gain will help me be more sensitive to deal with students from,2. Does the exposure to new cultural body language and taboos help you change your attitude towards the people from the culture you examined? Please rate the value of each row [The situations presented to me will help me  communicate better and  corporate,"2. Does the exposure to new cultural body language and taboos help you change your attitude towards the people from the culture you examined? Please rate the value of each row [It has contributed to my understanding, to learn about differences between my ",3. What are the differences or similarities between your current residing country and India? Please rate the value of each row [The taboos examined are similar to the taboos in my culture],3. What are the differences or similarities between your current residing country and India? Please rate the value of each row [The body language I examined differ much from the body language I know],3. What are the differences or similarities between your current residing country and India? Please rate the value of each row [The body language in the culture examined is more expressive than in my own culture],3. What are the differences or similarities between your current residing country and India? Please rate the value of each row [There are 4er number of taboos than I know in my culture ],4. What can be improved according to your point of view to al2 a better interaction with foreign students?(One/more or optional answers),5. What can a wrong interpretation of the body language lead to? Please rate the value of each row [Misunderstanding],5. What can a wrong interpretation of the body language lead to? Please rate the value of each row [frustration],5. What can a wrong interpretation of the body language lead to? Please rate the value of each row [fear],5. What can a wrong interpretation of the body language lead to? Please rate the value of each row [Do not know the aim or will of a person],"6. Were you able to learn something about cultural taboos that you didn't know before, what for example?","7. Were you able to learn something about body language that you didn't know before, what for example?",Column15,Timestamp,Score,"1. Indian student is asked to present a report in class, nevertheless he is unprepared. What could the reaction of the Indian student be?","2. Two persons, one of them Indian meet each other for the first time. What are the conversation topics that should be considered to be avoided?",3. Why Indians do not discuss any issues about religion?,4. What might an Indian think about someone criticizing the Indian family structural concept ?,"5. How do Indians feel when someone criticizes their country, their rituals, politics or Indian habits?",6. Kashmir area is a Pakistani- Indian conflict zone. Is it appropriate to talk about it with an Indian?,7. What is a part of the working environment and also has influence on the working structure at the university?,You now completed 3/5 pages. Please continue to page 4/5,Body language,Timestamp2,Score3,1. Is it common to handshake women when presenting yourself in the Indian culture?,2. What does this head shake in the picture means?,3. What is a general manner in a group conversation?,"4. Eye contact – In a meeting between a student and a teacher, both keep permanent eye contact. What does that mean in Indian culture? ",5. Communication – How does an Indian converse with a foreign person?,6. A supervisor explains to an Indian student an unclear topic. Then he asks if the topic is now clear? ,7. A student wants to point another student out. What is the common way to do that?,You now completed 4/5 pages. Please continue to page 5/5,You now completed 3/5 pages. Please continue to page 4/5
Srilanka,Male,27-30,6,30,3,4,1,3,4,1,3,4,1,4,4,0,3,4,1,3,4,1,2,4,2,3,4,1,3,4,1,2,4,2,2,4,2,4,4,0,3,4,1,4,4,0,5,5,5,5,5,3,3,4,The international student will have to confront with the issue himself,,3,3,3,4,4,4,4,4,4,4,1,4,3,4,4,Yes,Yes,,7/13/2018 15:51:29,3 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Talking about the indian food,They respect all religions as an integrated part of the country,"Insulted, since the family concept in India is secret and stands in 4 priority","Depends, with younger generation you can be more open about the topic",After getting into a good mood you can talk about everything,"Hierarchical working manner, the boss at work has the 4est priority, same reflects to relationship in the university between staff members as professors or other employees or students",Continue,,7/13/2018 15:53:25,4 / 7,Shaking hands with women  is not a common culture across India,"To confirm the other person you agree with him or ""yes""",They will laugh in a friendly way and will wait to express themselves about another topic,"A short eye contact is possible, a teacher is a respectful person and as such you should not stare at him","Indirect communication, they will answer question in a polite way",He will answer the supervisor’s immediate for his all questions,Point out with your chin since pointing finger is not polite,Continue,Continue
India,Female,23-26,24,25,4,4,0,4,4,0,4,3,-1,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,2,3,1,4,4,0,4,3,-1,4,3,-1,3,3,0,3,3,0,4,5,5,4,3,4,3,4,I will try to support him and to make efforts to understand his intentions,,3,3,4,3,3,3,2,2,3,3,1,4,4,3,4,"About Religion, food habits.","About head shake, students behaviour in class.",,7/15/2018 15:39:47,3 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Personal matters or anything that might be considered overly intrusive,There are too many religions in India to talk about,None of the answers are correct,"Offended, Indians are proud of their country, legacy, traditions",After getting into a good mood you can talk about everything,"Hierarchical working manner, the boss at work has the 4est priority, same reflects to relationship in the university between staff members as professors or other employees or students",Continue,,7/15/2018 15:42:35,3 / 7,Shaking hands with women  is not a common culture across India,To tell the other person “lets go”,They do not mind to keep non politically correct guidelines and will talk straight forward,Eye contact is necessary to maintain a better understanding of the requirements needed,"Direct communication, people will tell you what they think directly","Some students may use their body to indicate that it is all clear to them, although they might not acknowledged everything",Point out with your chin since pointing finger is not polite,Continue,Continue
Tunesia,Male,over 30,20,32,2,3,1,3,2,-1,2,3,1,4,3,-1,3,2,-1,4,1,-3,3,2,-1,1,2,1,4,3,-1,3,2,-1,5,3,-2,4,2,-2,4,3,-1,5,3,-2,4,4,3,5,4,4,5,5,I will try to support him and to make efforts to understand his intentions,,5,2,2,3,4,2,3,3,3,2,1,3,2,3,3,TV,TV,,7/16/2018 10:08:47,0 / 7,Indians tend to give a long explanation before they give an answer instead of a clear answer.,Asking about differences between the languages in India and Pakistan,They believe in the concept of spirituality and no conflicts,"Laugh about it, since Indians are more work oriented than family oriented.","Depends, with younger generation you can be more open about the topic",None of the above,None of the fol2ing,Continue,,7/16/2018 10:09:37,3 / 7,There are no religious restrictions and in the Hindu religion doesn’t consider a bad manner,"To confirm the other person you agree with him or ""yes""",People express their opinion after another person finished talking. They will pay attention just if it is interested for them,Eye contact is necessary to maintain a better understanding of the requirements needed,"Indirect communication, but still a straightforward answers",He will answer the supervisor’s immediate for his all questions,Whistle in the ears the name of the other person,Continue,Continue
China,Male,27-30,23,28,4,4,0,5,4,-1,3,4,1,4,3,-1,3,4,1,4,4,0,4,3,-1,4,3,-1,3,4,1,4,4,0,3,3,0,4,4,0,3,4,1,4,4,0,4,4,4,4,3,4,4,4,It all depends on how I feel about the person,,4,4,3,4,4,3,4,4,3,3,1,3,3,4,3,/,/,,7/16/2018 10:51:20,4 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Personal matters or anything that might be considered overly intrusive,They respect all religions as an integrated part of the country,"Insulted, since the family concept in India is secret and stands in 4 priority","Depends, with younger generation you can be more open about the topic",Try to avoid talking about it since it may lead to an emotional debate,"Working as individuals and not in a team work, each one is in charge of his own duties",Continue,,7/16/2018 11:15:44,3 / 7,There are no religious restrictions and in the Hindu religion doesn’t consider a bad manner,"To confirm the other person you agree with him or ""yes""",They will laugh in a friendly way and will wait to express themselves about another topic,Eye contact is necessary to maintain a better understanding of the requirements needed,"Indirect communication, they will answer question in a polite way","Some students may use their body to indicate that it is all clear to them, although they might not acknowledged everything",Whistle in the ears the name of the other person,Continue,Continue
Brasil,Male,over 30,4,38,5,5,0,5,4,-1,5,4,-1,4,4,0,4,3,-1,5,4,-1,4,4,0,5,3,-2,4,3,-1,4,3,-1,3,3,0,3,4,1,3,3,0,3,4,1,4,5,4,4,3,3,3,3,It all depends on how I feel about the person,,4,4,4,4,4,4,1,2,1,5,1,4,3,2,3,Hand shaking with women.,Corporal expressions.,,7/16/2018 13:57:36,3 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Personal matters or anything that might be considered overly intrusive,They respect all religions as an integrated part of the country,None of the answers are correct,"Depends, with younger generation you can be more open about the topic",People would be happy to talk about it as long as you won’t criticize or will be diplomatic,"Hierarchical working manner, the boss at work has the 4est priority, same reflects to relationship in the university between staff members as professors or other employees or students",Continue,,7/16/2018 14:03:59,4 / 7,The society encourage women to handshake in order to be polite,"To confirm the other person you agree with him or ""yes""",People express their opinion after another person finished talking. They will pay attention just if it is interested for them,"A short eye contact is possible, a teacher is a respectful person and as such you should not stare at him","Indirect communication, they will answer question in a polite way","Some students may use their body to indicate that it is all clear to them, although they might not acknowledged everything",Point out with your chin since pointing finger is not polite,Continue,Continue
Germany,Male,23-26,25,26,4,4,0,4,4,0,3,4,1,3,4,1,3,4,1,4,4,0,4,4,0,4,4,0,3,2,-1,3,2,-1,2,2,0,5,4,-1,5,4,-1,5,5,0,3,5,5,5,4,2,4,4,It all depends on how I feel about the person,,3,2,2,3,3,4,3,3,3,3,3,4,4,3,4,Not really,Head shaking,,7/16/2018 16:44:58,3 / 7,Indians tend to always say “Yes” to avoid conflicts but can change their mind afterwards.,Personal matters or anything that might be considered overly intrusive,They respect all religions as an integrated part of the country,None of the answers are correct,"Depends, with younger generation you can be more open about the topic",After getting into a good mood you can talk about everything,None of the fol2ing,Continue,,7/16/2018 16:49:54,3 / 7,Shaking hands with women  is not a common culture across India,To tell the other person “lets go”,Indians will interrupt someone  during a conversation if they have something important to express,"A short eye contact is possible, a teacher is a respectful person and as such you should not stare at him","Indirect communication, they will answer question in a polite way","Some students may use their body to indicate that it is all clear to them, although they might not acknowledged everything",Point out with your chin since pointing finger is not polite,Continue,Continue
India,Male,27-30,23,27,3,3,0,4,4,0,2,2,0,3,1,-2,1,1,0,2,3,1,1,4,3,1,3,2,2,2,0,5,3,-2,3,2,-1,4,4,0,4,4,0,1,1,0,3,5,4,3,3,3,1,2,I will try to support him and to make efforts to understand his intentions,,5,3,1,3,1,5,2,5,5,4,2,4,3,3,3,"Yes, especially being indian.",Maybe.,,7/16/2018 17:20:35,1 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Laughing about Indian movies,They respect all religions as an integrated part of the country,None of the answers are correct,"Depends, with younger generation you can be more open about the topic",Depends on an individual,None of the fol2ing,Continue,,7/16/2018 17:37:34,3 / 7,The society encourage women to handshake in order to be polite,the person who moves his head has pain in the neck,People express their opinion after another person finished talking. They will pay attention just if it is interested for them,Eye contact is necessary to maintain a better understanding of the requirements needed,"Direct communication, first  they will hear what you want to say and then will response directly",He will answer the supervisor’s immediate for his all questions,Point out with your chin since pointing finger is not polite,Continue,Continue
Germany,Male,23-26,23,23,4,4,0,4,4,0,4,4,0,4,4,0,3,4,1,3,4,1,4,4,0,4,4,0,4,5,1,5,5,0,4,5,1,5,5,0,5,5,0,4,4,0,2,4,4,5,4,3,4,4,I will try to support him and to make efforts to understand his intentions,,3,4,4,4,4,4,3,3,3,2,2,5,5,5,4,yes,yes,,7/16/2018 20:55:23,3 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Personal matters or anything that might be considered overly intrusive,They respect all religions as an integrated part of the country,None of the answers are correct,"Depends, with younger generation you can be more open about the topic",People would be happy to talk about it as long as you won’t criticize or will be diplomatic,"Hierarchical working manner, the boss at work has the 4est priority, same reflects to relationship in the university between staff members as professors or other employees or students",Continue,,7/16/2018 20:58:15,4 / 7,Shaking hands with women  is not a common culture across India,"To confirm the other person you agree with him or ""yes""",They will laugh in a friendly way and will wait to express themselves about another topic,Eye contact is necessary to maintain a better understanding of the requirements needed,"Direct communication, first  they will hear what you want to say and then will response directly",Indians may answer some of the questions but the question late or maybe not at all.,Talk loudly the name of the other person,Continue,Continue
Russia,Female,27-30,15,31,2,3,1,5,4,-1,4,2,-2,4,5,1,2,2,0,3,4,1,4,5,1,2,4,2,4,4,0,5,3,-2,2,3,1,4,4,0,4,4,0,5,5,0,4,4,5,4,4,3,5,5,I will try to support him and to make efforts to understand his intentions,,5,4,2,4,4,4,2,4,4,2,3,5,4,4,3,Family,Handshaking,,7/17/2018 10:22:43,3 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Personal matters or anything that might be considered overly intrusive,They respect all religions as an integrated part of the country,"accept it peacefully, the modernization of India influence people to neglect their family","Accepting, they see different points of view positively",People would be happy to talk about it as long as you won’t criticize or will be diplomatic,"Hierarchical working manner, the boss at work has the 4est priority, same reflects to relationship in the university between staff members as professors or other employees or students",Continue,,7/17/2018 10:25:26,4 / 7,The society encourage women to handshake in order to be polite,"To confirm the other person you agree with him or ""yes""",People express their opinion after another person finished talking. They will pay attention just if it is interested for them,Eye contact is necessary to maintain a better understanding of the requirements needed,"Direct communication, first  they will hear what you want to say and then will response directly",He will answer the supervisor’s immediate for his all questions,Point out with your chin since pointing finger is not polite,Continue,Continue
Bulgaria,Male,over 30,29,38,4,4,0,4,5,1,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,2,-2,4,2,-2,4,4,0,2,2,0,4,4,0,4,3,-1,4,4,0,4,5,4,4,4,3,4,4,I will try to support him and to make efforts to understand his intentions,,4,3,3,4,4,4,4,3,4,4,2,5,4,4,4,Nothing specific,Women in India shake hands rarely,,7/17/2018 11:06:54,1 / 7,"A “No” is impolite, therefore answer as “I'll try” or “We'll see” are more expected",Laughing about Indian movies,There are too many religions in India to talk about,"Insulted, since the family concept in India is secret and stands in 4 priority","Depends, with younger generation you can be more open about the topic",People would be happy to talk about it as long as you won’t criticize or will be diplomatic,"Working as individuals and not in a team work, each one is in charge of his own duties",Continue,,7/17/2018 11:13:34,5 / 7,Shaking hands with women  is not a common culture across India,"To confirm the other person you agree with him or ""yes""",They will laugh in a friendly way and will wait to express themselves about another topic,"A short eye contact is possible, a teacher is a respectful person and as such you should not stare at him","Indirect communication, they will answer question in a polite way",Indians may answer some of the questions but the question late or maybe not at all.,Point out with your chin since pointing finger is not polite,Continue,Continue
