 Valid,Timestamp,"Please create an identification code that consists of 1. first 2 letters of your father and first 2 letters of your mother and 2. numbers of birth date: Example - father John - Jo, mother Jasmin - Ja, birth date 1990 - 90.  User ID: Joja90",1.1 Which country are you from?,1.2 Please choose your gender,2. How old are you?,3. How long have you lived in your home country?(years),Age,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Religion (I. e critisize religion)],B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Relationships between men and a women(I.e unmarried couple)],"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Food habits (I. e  eating cows, drinking alchohol and so on)]","B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Physical contact with the opposide gender(I. e touching other gender,)]",B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid some kind of humour],"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid negative comments or criticisms about a person’s ability, appearance or attributes]",B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [embarrass a person in public],B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Not to ask too many personal questions ],"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you are angry, upset or annoyed (I. e turn your back to someone, grab your hair )]","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you thank people (I. e Hug a person with both hands,  hold the hand of someone with","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you disagree with someone (I. e turn the thumb down, hold your fist in front of som","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you agree with someone (I. e nod with your head, smile to someone )]","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing your surprise (I. e move your eyebrows upwards, open your mouth widely)]",B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Express themselves with the head movement],"6. Please rate the fol2ing questions according to your opion  [Have you stayed for a long duration outside your home country (5= long, 1= short)]",6. Please rate the fol2ing questions according to your opion  [Do you see yourself working and communicating well in an international working environment? ],6. Please rate the fol2ing questions according to your opion  [Do you think it is important to learn the cultural background of co-workers to achieve better communication ],6. Please rate the fol2ing questions according to your opion  [Learning the intentions of a direct/indirect communication based on the culture background helps in an international team work],6. Please rate the fol2ing questions according to your opion  [Cultural background influence the teamwork],"6. Please rate the fol2ing questions according to your opion  [how do you think the communication in the Indian culture?(Direct = 5, Indirect= verly 2)]","6. Please rate the fol2ing questions according to your opion  [Do you that support the statement that cultural taboos/body lanugage lead to different message interpretation? (5= strongly, 1= not really) ]","6. Please rate the following questions according to your opion  [Do you think that the environment influences our behaviour in terms of body language/taboos(Work, university, leisure time) ]",7. How would you approach an international student with a language barrier?,You now completed 2/5 pages. Please continue to the next questions in the fol2ing page and press the link for next questions
1,7/13/2018 15:46:58,Kako88,Srilanka,Male,27-30,6,30,3,3,3,4,3,3,2,3,3,2,2,4,3,4,5,5,5,5,5,3,3,4,The international student will have to confront with the issue himself,Agree
1,7/15/2018 15:37:54,Krka91,India,Female,23-26,24,25,4,4,4,3,3,3,3,3,2,4,4,4,3,3,4,5,5,4,3,4,3,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 10:07:58,Frja85,Tunesia,Male,over 30,20,32,2,3,2,4,3,4,3,1,4,3,5,4,4,5,4,4,3,5,4,4,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 10:48:10,Kape90,China,Male,27-30,23,28,4,5,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,It all depends on how I feel about the person,Agree
0,7/16/2018 12:20:30,MoMo85,Germany,Male,over 30,32,32,4,2,3,2,3,5,5,5,4,5,5,5,5,5,5,5,4,4,4,2,5,5,It all depends on how I feel about the person,Agree
1,7/16/2018 13:54:59,Cama80,Brasil,Male,over 30,4,38,5,5,5,4,4,5,4,5,4,4,3,3,3,3,4,5,4,4,3,3,3,3,It all depends on how I feel about the person,Agree
1,7/16/2018 16:41:45,jodo92,Germany,Male,23-26,25,26,4,4,3,3,3,4,4,4,3,3,2,5,5,5,3,5,5,5,4,2,4,4,It all depends on how I feel about the person,Agree
1,7/16/2018 17:16:51,RAVA91,India,Male,27-30,23,27,3,4,2,3,1,2,1,1,2,5,3,4,4,1,3,5,4,3,3,3,1,2,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 20:52:51,Huvi95,Germany,Male,23-26,23,23,4,4,4,4,3,3,4,4,4,5,4,5,5,4,2,4,4,5,4,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 10:19:15,Mana87,Russia,Female,27-30,15,31,2,5,4,4,2,3,4,2,4,5,2,4,4,5,4,4,5,4,4,3,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 11:03:15,VaTse80,Bulgaria,Male,over 30,29,38,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,5,4,4,4,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 15:15:20,Shme91,India,Male,27-30,25,27,4,3,3,2,3,4,5,3,1,4,2,5,5,4,3,4,4,3,4,4,2,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 16:38:43,Joev94,Germany ,Male,23-26,22,24,4,5,5,5,3,2,2,1,3,4,4,5,4,5,4,4,5,4,5,4,4,4,It all depends on how I feel about the person,Agree
1,7/18/2018 11:55:36,gxze21,Greece,Male,27-30,13,28,2,4,4,5,2,2,4,1,3,4,2,3,4,5,4,4,3,3,4,4,2,5,I will try to support him and to make efforts to understand his intentions,Agree
0,7/18/2018 14:47:52,Iaia96,Bulgaria,Female,18-22,3,22,3,5,3,3,3,2,2,1,2,3,2,4,2,2,5,4,4,3,4,3,4,5,It all depends on how I feel about the person,Agree
